Designator,Footprint,Quantity,Value,JLCPCB Part #
"C1, C6, C9",0603,3,10uF,C194427
"C10, C2, C4, C5, C7",0603,5,1uF,C15849
"C11, C3, C8",0603,3,100nF,C14663
"D1, D2",CPDH5V0PHF,2,CPDH5V0P-HF,C2443345
D3,SOD3716X145N,1,1N5819HW-7-F,
IC1,SOT230P700X180-4N,1,AZ1117CH-3.3TRG1,
IC2,ESP32S3WROOM1UN8,1,ESP32-S3-WROOM-1U-N8,
IC3,SOP65P780X200-20N,1,ADM3260ARSZ,
"J1, J3, J4",RFPCSMA27F,3,RFPC-SMA27-F,
J2,23387921,1,2338792-1,
"J5, J6","PhoenixContact_GMSTBA_2,5_2-G_1x02_P7.50mm_Horizontal",2,Screw_Terminal_01x02,
LED1,WS2812BB,1,WS2812B-B,
"Q1, Q2",SOTFL50P160X60-6N,2,"SSM6N35AFE,LF",
"R1, R11, R12, R17, R2, R23, R25, R27, R29, R3, R32, R33, R4, R9",0603,14,10k,C98220
"R10, R7, R8",0603,3,0,C2906974
"R13, R14",0603,2,1M,C22935
"R15, R16, R18",0603,3,4.7k,C99782
"R24, R30",0603,2,8.45k,C2933263
"S1, S2",TS046650BK260SMTTR,2,TS04-66-50-BK-260-SMT-TR,
"U1, U2, U3",EZO FOOTPRINT,3,Atlas Scientific EZO,
